"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","107","0","0"
"","Event Participation","Complete Invitation Flow","0","0","1","0","0"
"","Event Invitation","Complete Invitation Flow","0","0","1","0","0"
"","Event Management","Create Event with Organizer","0","0","1","0","0"
"","Event Creation","Create Event with Organizer","0","0","1","0","0"
"","User Authentication","Successful Login","0","0","2","0","0"
"","Event Management","Get Event by ID","0","0","1","0","0"
"","Event Retrieval","Get Event by ID","0","0","1","0","0"
"","Participation Management","Add Participant to Event","0","0","1","0","0"
"","Participation Creation","Add Participant to Event","0","0","1","0","0"
"","User Authentication","Failed Login - Invalid Password","0","0","2","0","0"
"","Event Management","Complete Event Scenario","0","0","1","0","0"
"","Participation Management","Update Participation Status","0","0","1","0","0"
"","Participation Update","Update Participation Status","0","0","1","0","0"
"","Notification Management","Create Notifications for Event Participants","0","0","1","0","0"
"","Notification Creation","Create Notifications for Event Participants","0","0","1","0","0"
"","User Authentication","Successful User Registration","0","0","1","0","0"
"","User Registration","Successful User Registration","0","0","1","0","0"
"","Event Management","Multiple Participants Scenario","0","0","1","0","0"
