"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 26 12:06:22 UTC 2025","Sun Oct 26 12:06:22 UTC 2025","195","","Integration Tests","Authentication Service","Eventity.Tests.Integration.AuthServiceIntegrationTests","Eventity.Tests.Integration.AuthServiceIntegrationTests.RegisterUser_ShouldCreateUserAndReturnToken","Eventity.Tests.Integration.AuthServiceIntegrationTests.RegisterUser_ShouldCreateUserAndReturnToken",""
"passed","Sun Oct 26 12:06:12 UTC 2025","Sun Oct 26 12:06:12 UTC 2025","1","","","","Eventity.UnitTests.DalUnitTests.ConvertersUnitTests.ParticipationConverterTests","Eventity.UnitTests.DalUnitTests.ConvertersUnitTests.ParticipationConverterTests.ToDomain_WhenValidParticipationDb_ReturnsParticipation","Eventity.UnitTests.DalUnitTests.ConvertersUnitTests.ParticipationConverterTests.ToDomain_WhenValidParticipationDb_ReturnsParticipation",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","3","","ParticipationServiceSuccess","","Eventity.Tests.Services.ParticipationServiceTests","Eventity.Tests.Services.ParticipationServiceTests.UpdateParticipation_ShouldReturnUpdatedParticipation_WhenParticipationExists","Eventity.Tests.Services.ParticipationServiceTests.UpdateParticipation_ShouldReturnUpdatedParticipation_WhenParticipationExists",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","12","","NotificationServiceSuccess","","Eventity.Tests.Services.NotificationServiceTests","Eventity.Tests.Services.NotificationServiceTests.UpdateNotification_ShouldUpdateFields","Eventity.Tests.Services.NotificationServiceTests.UpdateNotification_ShouldUpdateFields",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","7","","ParticipationServiceSuccess","","Eventity.Tests.Services.ParticipationServiceTests","Eventity.Tests.Services.ParticipationServiceTests.GetAllLeftParticipantsByEventId_ShouldReturnLeftParticipants_WhenLeftParticipantsExist","Eventity.Tests.Services.ParticipationServiceTests.GetAllLeftParticipantsByEventId_ShouldReturnLeftParticipants_WhenLeftParticipantsExist",""
"passed","Sun Oct 26 12:06:12 UTC 2025","Sun Oct 26 12:06:12 UTC 2025","4","","","","Eventity.UnitTests.DalUnitTests.ConvertersUnitTests.EventConverterTests","Eventity.UnitTests.DalUnitTests.ConvertersUnitTests.EventConverterTests.ToDomain_WhenValidEventDb_ReturnsEvent","Eventity.UnitTests.DalUnitTests.ConvertersUnitTests.EventConverterTests.ToDomain_WhenValidEventDb_ReturnsEvent",""
"passed","Sun Oct 26 12:06:12 UTC 2025","Sun Oct 26 12:06:12 UTC 2025","189","","","","Eventity.DataAccess.Tests.Repositories.UserRepositoryTests","Eventity.DataAccess.Tests.Repositories.UserRepositoryTests.GetByIdAsync_ShouldReturnUser_WhenUserExists","Eventity.DataAccess.Tests.Repositories.UserRepositoryTests.GetByIdAsync_ShouldReturnUser_WhenUserExists",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","2","","ParticipationServiceError","","Eventity.Tests.Services.ParticipationServiceTests","Eventity.Tests.Services.ParticipationServiceTests.ChangeParticipationStatus_ShouldThrowParticipationServiceException_WhenParticipationNotFound","Eventity.Tests.Services.ParticipationServiceTests.ChangeParticipationStatus_ShouldThrowParticipationServiceException_WhenParticipationNotFound",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:12 UTC 2025","819","","","","Eventity.DataAccess.Tests.Repositories.UserRepositoryTests","Eventity.DataAccess.Tests.Repositories.UserRepositoryTests.AddAsync_ShouldAddUser","Eventity.DataAccess.Tests.Repositories.UserRepositoryTests.AddAsync_ShouldAddUser",""
"passed","Sun Oct 26 12:06:12 UTC 2025","Sun Oct 26 12:06:12 UTC 2025","2","","","","Eventity.DataAccess.Tests.Repositories.ParticipationRepositoryTests","Eventity.DataAccess.Tests.Repositories.ParticipationRepositoryTests.AddAsync_ShouldAddParticipation","Eventity.DataAccess.Tests.Repositories.ParticipationRepositoryTests.AddAsync_ShouldAddParticipation",""
